ER60001;ER60002;ER60017;ER60018;ER60019;ER60020;ER60025;ER62366;ER62449;ER62484;ER62486;ER62488;ER62491;ER62499;ER62502;ER62505;ER63482;ER63565;ER63600;ER63602;ER63604;ER63607;ER63615;ER63618;ER63621;ER64674;ER64676;ER64730;ER64813;ER64815;ER64869;ER65019;ER65067;ER65216;ER65244;ER66001;ER66002;ER66017;ER66018;ER66019;ER66020;ER66025;ER68420;ER68512;ER68549;ER68551;ER68553;ER68556;ER68564;ER68567;ER68570;ER69547;ER69639;ER69676;ER69678;ER69680;ER69683;ER69691;ER69694;ER69697;ER70747;ER70749;ER70803;ER70885;ER70887;ER70941;ER71111;ER71159;ER71293;ER71321;ER72001;ER72002;ER72017;ER72018;ER72019;ER72020;ER72025;ER74428;ER74520;ER74557;ER74559;ER74561;ER74564;ER74572;ER74575;ER74578;ER75555;ER75647;ER75684;ER75686;ER75688;ER75691;ER75699;ER75702;ER75705;ER76755;ER76757;ER76815;ER76900;ER76902;ER76960;ER77133;ER77181;ER77315;ER77343;Blanks
1;6204;23;1;43;2;2;3;0;2;1;2;3;1;0;0;1;0;1;1;0;0;1;0;0;0;3;0;0;3;0;40;50;40000;40000;2;7903;25;1;0;0;3;3;0;1;1;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;50;0;15000;0;1;3759;27;1;0;0;3;3;0;2;2;2;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;20;0;25000;0;0
1;7580;31;1;31;2;2;1;0;5;5;4;0;2;0;0;2;0;3;2;1;0;0;0;0;0;3;0;0;3;8;40;50;55000;49425;2;7018;32;1;32;2;3;2;0;4;2;3;0;3;0;0;3;3;1;2;0;0;2;0;0;0;3;0;0;3;8;40;50;48750;57000;1;3574;34;1;34;2;2;2;0;5;5;4;0;3;0;0;3;0;0;3;0;0;1;0;0;0;3;1;0;3;1;40;35;54357;46684;0
1;1235;69;1;68;2;2;3;0;3;3;0;0;0;0;0;2;0;4;4;0;0;0;0;0;0;9;8;0;9;8;40;0;38000;0;2;5108;72;1;70;2;2;3;0;3;3;2;0;0;0;0;3;0;2;3;0;0;0;0;0;0;9;8;0;9;8;0;0;0;0;1;1547;73;1;72;2;1;3;0;0;3;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;9;31;0;9;31;0;0;0;0;0
1;8721;44;1;41;2;3;3;0;0;2;0;0;2;0;0;1;0;6;6;6;0;1;0;0;0;5;8;0;5;8;60;40;59000;42000;2;8961;46;1;42;2;3;3;0;2;4;3;0;3;0;0;2;0;5;6;5;0;1;0;0;0;5;8;0;5;8;40;38;65000;45000;1;1711;47;1;44;2;2;2;0;100;3;3;0;1;0;0;2;0;5;5;5;0;0;0;0;0;5;14;0;5;14;50;60;65000;45000;0
1;6413;36;1;0;0;4;4;0;2;5;2;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;30;0;13000;0;2;7445;38;1;0;0;4;4;0;2;2;0;15;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;40;0;10000;0;1;2444;40;1;0;0;4;4;0;1;1;1;40;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;31;38;0;20000;0;0
1;1345;62;1;60;2;2;3;0;3;4;3;0;2;0;0;3;0;7;7;7;0;1;0;0;0;5;8;0;3;8;0;40;0;4158;2;612;64;1;62;2;2;3;0;7;7;7;0;2;0;0;3;0;7;7;7;0;1;0;0;0;5;8;0;3;8;0;0;0;0;1;5536;66;1;64;2;2;4;0;0;5;7;0;2;0;0;3;0;2;7;3;0;1;0;0;0;5;2;0;3;1;0;0;0;0;0
1;1816;32;1;34;2;1;3;4;5;7;3;0;2;0;0;1;0;3;5;0;0;1;0;0;0;3;99;0;3;0;38;40;68900;80200;2;139;34;1;36;2;2;2;0;4;5;3;0;3;0;0;2;2;3;7;0;0;2;0;0;0;3;99;0;3;0;40;30;58000;11000;1;8034;36;1;39;2;2;1;0;3;5;3;0;3;0;0;1;0;4;5;4;0;2;0;0;0;3;1;0;3;1;40;40;60000;55000;0
1;2716;30;1;32;2;2;2;0;6;2;3;0;3;0;0;2;0;4;2;2;0;2;0;0;0;3;0;0;3;0;40;40;55000;45000;2;900;32;1;34;2;3;3;0;5;2;3;0;6;0;0;3;0;0;2;0;0;4;0;0;0;3;0;0;3;0;40;40;50000;36000;1;8018;34;1;36;2;3;3;0;2;1;1;0;6;0;0;4;0;0;2;0;0;4;0;0;0;3;3;0;3;3;40;40;61500;45500;0
1;218;28;2;0;0;2;2;0;1;5;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;45;0;67000;0;2;126;30;2;32;2;2;2;0;4;4;5;0;2;0;0;2;0;4;5;1;0;2;0;0;0;3;0;0;3;0;50;40;50000;105000;1;6441;32;2;34;2;2;2;0;2;5;1;0;1;0;0;2;0;2;5;0;0;2;0;0;0;3;2;0;3;2;40;50;81000;120000;0
1;2120;63;1;55;2;1;2;0;7;7;3;0;3;0;0;2;0;4;5;0;0;3;0;0;0;1;8;0;1;8;0;0;0;0;2;746;65;1;57;2;1;2;0;7;7;3;0;3;0;0;3;0;5;7;0;0;2;0;0;0;1;8;0;1;8;0;0;0;0;1;9537;67;1;59;2;2;2;0;7;7;1;0;2;0;0;3;0;1;7;0;0;2;0;0;0;1;9;0;1;9;0;0;0;0;0
